city,confirmed,deaths,estimated_population,confirmed_per_100k_inhabitants,death_rate,pib_per_capita,n_vaccinations,demographic_density,vaccinated,vaccinated_per_100k_inhabitants
BAIA DA TRAICAO,1312,12,9096,14423.9226,0.0091,9890.37,6751,78.27,5285,58102.46262093228
BANANEIRAS,1534,27,21269,7212.37482,0.0176,10998.3,16432,84.72,12515,58841.506417791155
BARAUNA,696,9,4964,14020.95085,0.0129,9088.23,3650,83.43,2741,55217.56647864625
BARRA DE SANTANA,649,7,8349,7773.38603,0.0108,9266.71,6268,21.77,4704,56342.07689543658
BARRA DE SANTA ROSA,1712,12,15497,11047.29948,0.007,8735.13,9696,18.25,7349,47422.081693230946
BARRA DE SAO MIGUEL,640,7,6065,10552.34955,0.0109,10806.7,4663,9.43,3472,57246.49629018961
BAYEUX,8141,249,97203,8375.25591,0.0306,14346.61,55473,3118.76,44562,45844.26406592389
BELEM,2407,45,17705,13595.02965,0.0187,10752.78,12141,170.67,9267,52341.146568765886
BELEM DO BREJO DO CRUZ,533,5,7349,7252.68744,0.0094,9302.2,4361,11.84,3372,45883.7937134304
BERNARDINO BATISTA,307,1,3536,8682.1267,0.0033,10342.92,2512,60.74,1910,54015.837104072394
BOA VENTURA,766,12,5307,14433.76672,0.0157,8230.02,4078,33.71,3038,57245.147917844355
BOA VISTA,849,15,7136,11897.42152,0.0177,20544.17,5367,13.07,3928,55044.843049327355
BOM JESUS,192,3,2575,7456.31068,0.0156,11480.13,1987,50.39,1438,55844.66019417476
BOM SUCESSO,502,4,4956,10129.1364,0.008,8532.14,4230,27.35,3031,61158.19209039548
BONITO DE SANTA FE,557,14,12022,4633.17252,0.0251,7954.43,6874,47.32,5303,44110.7968724006
BOQUEIRAO,2302,41,17870,12881.92501,0.0178,12168.09,11154,45.4,8854,49546.72635702294
BORBOREMA,387,13,5287,7319.84112,0.0336,11101.2,3793,196.74,2859,54076.0355589181
BREJO DO CRUZ,1948,23,14206,13712.51584,0.0118,8873.2,8842,32.9,6849,48212.023088835704
BREJO DOS SANTOS,774,8,6464,11974.0099,0.0103,8538.07,4435,66.04,3410,52753.71287128713
CAAPORA,2137,34,21955,9733.54589,0.0159,16698.65,13037,135.59,10454,47615.57731723981
CABACEIRAS,445,4,5661,7860.80198,0.009,10434.79,3825,11.12,2889,51033.38632750397
CABEDELO,9603,202,68767,13964.54695,0.021,43115.89,47938,1815.57,37062,53895.03686361191
CACHOEIRA DOS INDIOS,917,16,10305,8898.59292,0.0174,10822.22,7332,49.44,5535,53711.79039301311
CACIMBA DE AREIA,60,4,3695,1623.81597,0.0667,9479.67,2744,16.14,2039,55182.67929634642
CACIMBA DE DENTRO,1237,34,17178,7201.07114,0.0275,7785.78,11558,102.32,8806,51263.24368378158
CACIMBAS,257,8,7199,3569.94027,0.0311,7980.88,5350,53.85,4069,56521.73913043478
CAICARA,825,14,7191,11472.67418,0.017,7984.73,4460,56.44,3475,48324.29425670978
CAJAZEIRAS,9828,154,62289,15778.06675,0.0157,18176.27,45550,103.28,34875,55989.01892790059
CAJAZEIRINHAS,212,1,3205,6614.66459,0.0047,11098.48,2304,10.54,1786,55725.429017160684
CALDAS BRANDAO,600,10,6046,9923.91664,0.0167,12070.12,4895,100.92,3612,59741.97816738339
CAMALAU,455,7,6031,7544.35417,0.0154,9979.19,5309,10.57,3963,65710.49577184547
CAMPINA GRANDE,42778,1084,411807,10387.87587,0.0253,23210.44,266203,648.31,209091,50774.02763916107
CAPIM,236,10,6620,3564.95468,0.0424,9535.98,4557,71.65,3623,54728.09667673716
CARAUBAS,274,6,4185,6547.19235,0.0219,9396.24,3469,7.84,2537,60621.266427718045
CARRAPATEIRA,437,6,2687,16263.49088,0.0137,10325.72,1818,43.61,1380,51358.392259024935
CASSERENGUE,1050,22,7499,14001.86692,0.021,8200.4,4917,35.05,3775,50340.04533937858
CATINGUEIRA,328,11,4935,6646.40324,0.0335,9185.83,3547,9.09,2686,54427.55825734549
CATOLE DO ROCHA,4709,60,30684,15346.76053,0.0127,14353.56,22977,52.09,17194,56035.71894146787
